name	pValue	fdr
Acetylcholine inhibits contraction of outer hair cells	0.00467865813101	0.0641648364757
Ca2+ activated K+ channels	0.005845278052	0.0641648364757
cGMP effects	0.0104996125698	0.0641648364757
RNA Polymerase I Transcription Termination	0.0191743124588	0.0641648364757
Nitric oxide stimulates guanylate cyclase	0.0203258165269	0.0641648364757
Sensory processing of sound by outer hair cells of the cochlea	0.0368881235389	0.0641648364757
Ion homeostasis	0.0368881235389	0.0641648364757
Ion transport by P-type ATPases	0.041413012859	0.0641648364757
RHOB GTPase cycle	0.0431049682757	0.0641648364757
Sensory processing of sound by inner hair cells of the cochlea	0.0436683632149	0.0641648364757
RHOC GTPase cycle	0.0453567793244	0.0641648364757
RHO GTPases activate PKNs	0.0453567793244	0.0641648364757
RNA Polymerase I Transcription	0.0492861167652	0.0641648364757
Sensory processing of sound	0.049846275502	0.0641648364757
Mitochondrial translation termination	0.0537591792094	0.0641648364757
Mitochondrial translation elongation	0.0537591792094	0.0641648364757
Mitochondrial translation initiation	0.0548745176172	0.0641648364757
Mitochondrial translation	0.0582135247175	0.0641648364757
Potassium Channels	0.0609880164406	0.0641648364757
Signaling by Rho GTPases	0.0616610462002	0.0641648364757
Signaling by Rho GTPases, Miro GTPases and RHOBTB3	0.0641648364757	0.0641648364757
Platelet homeostasis	0.0670663389682	0.0670663389682
Cardiac conduction	0.0829237043753	0.0829237043753
RHOA GTPase cycle	0.0867152600371	0.0867152600371
Potential therapeutics for SARS	0.0942565949067	0.0942565949067
Ion channel transport	0.115499196276	0.115499196276
Muscle contraction	0.128031108016	0.128031108016
RHO GTPase Effectors	0.175114925751	0.175114925751
Translation	0.182003507424	0.182003507424
RHO GTPase cycle	0.239442765987	0.239442765987
Neuronal System	0.253116931278	0.253116931278
SARS-CoV Infections	0.289384786003	0.289384786003
Hemostasis	0.38328590145	0.38328590145
Transport of small molecules	0.443780252107	0.443780252107
Viral Infection Pathways	0.478935944569	0.478935944569
Sensory Perception	0.537801785501	0.537801785501
Signal Transduction	0.555808885925	0.555808885925
Infectious disease	0.589088153061	0.589088153061
Gene expression (Transcription)	0.698813182145	0.698813182145
Metabolism of proteins	0.757702390094	0.757702390094
Disease	0.801857431782	0.801857431782
