Sample	PRKAA2	chgA	CEMIP	Lgr-5	IL-8	CLDN-2	Type	Score
FAP_1 AC NI	-0.12393964671110064	-0.061978134761088204	-0.17832019595277768	-0.4107658374156511	0.016911073554494296	-0.028245536227251872	NI	-0.41450271456899757
FAP_1 AC polyp	-0.24584763451066827	-0.17834298125110462	0.3641605055996589	-0.2114347763585545	0.49827965792717155	0.21717605575374044	P	1.2923720586837892
FAP_1 TC NI	-0.2895767209897595	-0.1521256358032733	0.2427763127005143	0.02676998481766994	-0.3728409517582888	-0.18000003486445243	NI	0.15840766768847586
FAP_1 TC polyp	-0.39120229621907376	-1.175562380492608	-0.1306228921903386	-0.1433735233629435	-0.14507523340387285	-0.6318114228944891	P	0.5158816048600379
FAP_4 AC NI	-0.005231638441181426	0.21617474732911227	0.4956775440079157	0.1827416603930615	0.17901774105934481	0.28051564856958516	NI	0.9270094851419763
FAP_4 AC polyp	-0.02694058933556877	0.3769204314399734	0.5611729748641845	0.12488718901331236	0.5843234308962171	0.6034962155644916	P	1.5238999682338008
FAP_4 DC polyp	-0.6395573533204404	0.38764864696765283	0.5214968666052705	0.19168989832124084	0.22970926535114994	-0.6550804232664631	P	0.5397243133639857
FAP_4 TC NI	-0.2446594806570283	0.4816466059877332	0.4008952495280996	0.26757563715018556	0.34803425385238435	0.03116916437675592	NI	0.8106871795767207
FAP_4 TC polyp	-0.30942694775500335	0.44217460976614986	0.6040740956919879	0.3377214322842288	0.4932489714958775	0.11729147419848604	P	1.4195883116594337
FAP_5 Rectum NI	0.3000551717032393	0.34755608993751896	0.13256076918904144	0.10316812449320635	-0.34652719024873985	-0.13668206141660444	NI	-0.8950916196238548
FAP_5 Rectum polyp	-0.037292555200060626	0.033710564961790195	0.2533643723610549	0.21795743048529548	-0.04880576825239288	0.16878351999734847	P	0.5948815448295764
FAP_7 AC NI	0.2061015423357003	0.07591365745572416	0.6524256952532969	0.4506560720010195	-0.09270712845468777	-0.2843976712512421	NI	0.4439617677569618
FAP_7 Ac NI	0.06871958858825479	0.22239403333540225	-0.12910812269072358	0.04422684974875395	-0.14090873260332354	-0.07143750318682257	NI	-0.5883411306557728
FAP_7 Cecum polyp	-0.02939079707264979	-0.11022712285015741	0.35706051853396065	0.20164753662076204	0.1727001710667743	0.11761151410316367	P	0.9886376602474678
FAP_7 Sigmoid NI	0.36068101548977094	0.014453922206106414	-0.2247539704374555	0.19602048638973846	-0.4505963965955783	-0.20609181650011377	NI	-1.0605566348392865
FAP_7 Sigmoid polyp	0.19148961870663866	-0.036158088884369666	0.192890227789967	0.2742442830239456	-0.11103688479185117	0.0005666129242789588	P	0.20133270912407136
H12	0.20174635649526232	0.12018805698010863	-0.31073756320137547	-0.25387500634637683	-0.19794434605013306	-0.025919437579277272	H	-1.1104107666525336
H14	0.1391718758395208	0.32390099321188	-0.24828035137565505	-0.2165455729161588	-0.12991977623728485	-0.08016084465043956	H	-1.137979414230939
H4	0.25062320573278285	0.24985725226599861	-0.2529886687611021	-0.05872358237286303	-0.05964254125917065	-0.1521103114142106	H	-1.0239455618061277
JPS Re NI	0.38936751271134123	0.18720306194912728	-0.06083382010631877	0.3731773736756022	0.19422222943131387	0.3521933530227877	NI	0.2821885613629165
JPS Re polyp	-0.18755613529939213	0.3486634908003203	-0.20901617566044595	0.46665980480300323	0.11674830654249622	0.2713092999743937	P	0.484593880158519
JPS TC NI	0.8520245073757453	-0.018513166019611164	0.12799362425558078	0.6693880012280226	0.20563848161246454	0.47815603045844923	NI	0.647664796198383
JPS TC polyp	0.6011552693446623	-0.02708465286853299	0.1486512026905019	0.6645098582060915	0.3046114196113024	0.5658301075577007	P	1.1095319715894674
Lynch 1 AC NI	-0.08779474672804208	-0.09644179298282812	0.045277549646445314	-0.18416575209431343	-0.4341822933476357	-0.20638309504298782	NI	-0.5952170511276215
Lynch 1 TC NI	0.020260174673552914	-0.13936037868700676	-0.2643201356597583	-0.20956426612320492	-0.019355626967392344	-0.10699540591901772	NI	-0.4811352306559194
Lynch 2 AC NI	-0.04608769317328928	-0.24084720479827124	0.30042370896698223	0.09545028030426632	-0.34113975785298734	-0.2054494459775502	NI	0.13621968341227156
Lynch 2 TC NI	-0.1647660487407807	-0.16548849478037206	0.011325143270687522	-0.2803781738769453	-0.3500551759200495	-0.002436745354716857	NI	-0.2912904083598713
PJS_0 TC polyp	0.7647369576895825	0.8186241102499507	0.8565755639708401	0.9851860284970945	1.1041159731250934	0.862850598943606	P	2.225367096597101
PJS_2 Re NI	0.390134138218301	0.15885815408074355	-0.30651347373584076	0.19601805800802932	0.044415413620550216	0.12561823875269854	NI	-0.4894540556536072
PJS_2 Re Polyp	-0.4041153742757826	-0.06789280818821693	-0.3208961079426253	-0.20692401631403223	0.001277888885220562	-0.5196265107858532	P	-0.5741605636932909
lynch 1 AC NI	0.07646358814815912	-0.19980029285930362	-0.2664397354265879	-0.5501508307518235	0.12333243052030438	-0.01929489007444273	NI	-0.5892163210214052
