ArrayID	Name	BitVector
MRFAP1L1	212199_at	222222222222222222122222222222222222222222222222222222222222222222212122122221222110100000020010020022222222222221112222122222222222222122221221222212220222222222222222222121222222222222222221222222222221222211211222220111101000
CFDP1	210701_at	000000001100220000000110000100110010010000000000000000110000101111011121121122120220000012101100101101110010001100111201201000111000000100100100200201200010001100000000001000000010000000100000010000000010100000001122110101110100
LOC100130339	244104_at	100100100000010100100002110101101011100011000100100000000001011010000000000000000002112112212212212210100000000011001111111001000000000000001000000001000000000001001101001101111101100000001000100000000101000111110010000000000000
SFN	209260_at	011110100112111111110111101110121110101001001010000001001000011000022222222222222220220221221012010221000110001111222000000101011010101000010000111001110111110110011001110111112110010000110000100000000001001000000100000000000000
PPP1R3B	222662_at	112222120201222022022111222222222222112222222122122121210222212222211111111001112020200210020010010011221222122210011001100211122222120212112222212222212122222100011112201010111021102100111012110121101110200110200122211211211211
LOC220077	216386_at	000000000000010101001011200000100000100001100010000001001100011000000000000000000012111111112112211210000010100100000001000000000000101011000000000000110000000100000000000000010100000000010000011001000001000010000000000110000000
DHRS9	224009_x_at	122222222222222222222222222222222222222222222222222222112222222222222222222222222221220221200022020222222222222222022001000222222222122111222111222222222222221110220200201110002200011020221111000100001001002200000000000000000000
KCNJ12	208567_s_at	100000000001000000001111100001101011100101000111111110111001120010100000000000000102112112212212212211011010000011011000010101111100100011100000110000100111110101000001000100100000100101011110101100000001000011101000110000000000
ABCF2	207622_s_at	111111111112211222221211212221112221112212111211212112112222111221211102011211111100110110001101110112111221212211111001000111212221202011220100222201120221221122122221121112122222222222222112212212222221222000000121120100011000
C1orf21	223125_s_at	111211122221222222121211222222212222222222222222222222212222222222222222222222222210110110010012010012211222222212022122111222122222222212222222222222222222222211110111201000120221112120221112111211111111211100100012221111211111
BLNK	207655_s_at	122121112212222221122222122212222222222222222122222222222222222222112121111110110110000001000010020002222211222221211212112222222222222212222222122221122222222211200202002100221222222222222222222222222221222211121222222222222222
MTFMT	235689_at	110111111121211212211110111120101111121121121111111111111121111111110101010200000100000000000000010001112111212111111111101121111221111110121221122111011111111121221111121111221222222222222222222222222221222000000211112221222222
ATPBD4	238662_at	000000000011100111011100000000000000011111110000000111000110001001112111111211211110000000000000000000110100100000011111111010211121211211221222111020111111112111111011001010122121222121211111221212221120221110010111112222222222
LOC728099	1561221_x_at	101000010001001000000001001010100000000010000101010000001000000001000000000000000002122110111210202111010111011111111001111100000000000000000000000000000010000000000000000100000001010000000001000000000000000001101000001000000000
