ArrayID	ArrayHeader	ClinicalhHeader
GSM95479	GSM95479	GSM95479
GSM95476	GSM95476	GSM95476
GSM95474	GSM95474	GSM95474
GSM95475	GSM95475	GSM95475
GSM95477	GSM95477	GSM95477
GSM95480	GSM95480	GSM95480
GSM95478	GSM95478	GSM95478
GSM95473	GSM95473	GSM95473
GSM298951	GSM298951	GSM298951
GSM298947	GSM298947	GSM298947
GSM298956	GSM298956	GSM298956
GSM298964	GSM298964	GSM298964
GSM298948	GSM298948	GSM298948
GSM298789	GSM298789	GSM298789
GSM298953	GSM298953	GSM298953
GSM298952	GSM298952	GSM298952
GSM298950	GSM298950	GSM298950
GSM298958	GSM298958	GSM298958
GSM298776	GSM298776	GSM298776
GSM298782	GSM298782	GSM298782
GSM298962	GSM298962	GSM298962
GSM298778	GSM298778	GSM298778
GSM298798	GSM298798	GSM298798
GSM298961	GSM298961	GSM298961
GSM298967	GSM298967	GSM298967
GSM93954	GSM93954	GSM93954
GSM93950	GSM93950	GSM93950
GSM93948	GSM93948	GSM93948
GSM93938	GSM93938	GSM93938
GSM93941	GSM93941	GSM93941
GSM93952	GSM93952	GSM93952
GSM93939	GSM93939	GSM93939
GSM93943	GSM93943	GSM93943
GSM93946	GSM93946	GSM93946
GSM93944	GSM93944	GSM93944
GSM215070	GSM215070	GSM215070
GSM215076	GSM215076	GSM215076
GSM215064	GSM215064	GSM215064
GSM215065	GSM215065	GSM215065
GSM215069	GSM215069	GSM215069
GSM215052	GSM215052	GSM215052
GSM215060	GSM215060	GSM215060
GSM215061	GSM215061	GSM215061
GSM215075	GSM215075	GSM215075
GSM215072	GSM215072	GSM215072
GSM215051	GSM215051	GSM215051
GSM215058	GSM215058	GSM215058
GSM215082	GSM215082	GSM215082
GSM215056	GSM215056	GSM215056
GSM215074	GSM215074	GSM215074
GSM215073	GSM215073	GSM215073
GSM215057	GSM215057	GSM215057
GSM215071	GSM215071	GSM215071
GSM215062	GSM215062	GSM215062
GSM215059	GSM215059	GSM215059
GSM215078	GSM215078	GSM215078
GSM215067	GSM215067	GSM215067
GSM215068	GSM215068	GSM215068
GSM215066	GSM215066	GSM215066
GSM215053	GSM215053	GSM215053
GSM215077	GSM215077	GSM215077
GSM215063	GSM215063	GSM215063
