AffyID	name	thr	mean	mean-thr	perc	min	max	sd	thrNum	hi	int	lo
SPTLC2	225095_at	7.25	8.18	0.93	0.32	4.69	9.42	0.84	21	182	31	15
ZNF573	217627_at	5.08	4.99	-0.09	-0.06	3.35	7.56	0.88	129	49	93	86
GJB3	205490_x_at	7.67	7.48	-0.20	-0.19	6.16	9.77	0.67	153	36	106	86
TPP1	200742_s_at	7.68	8.69	1.02	0.33	4.62	10.07	0.83	18	194	23	11
MAP4K4	218181_s_at	5.85	6.00	0.16	0.12	3.74	7.98	0.69	82	79	113	36
KIAA1946	227370_at	5.19	4.98	-0.21	-0.14	3.60	8.12	0.84	148	40	98	90
YME1L1	216304_x_at	7.79	9.47	1.68	0.26	3.97	10.28	0.83	9	217	3	8
MCCC1	218440_at	7.01	8.17	1.16	0.36	4.93	9.17	0.72	11	206	13	9
SEPSECS	1553167_a_at	5.23	5.34	0.11	0.04	3.30	7.33	0.86	97	85	81	62
MUC4	217110_s_at	7.52	7.40	-0.13	-0.08	4.03	10.26	1.14	131	55	100	73
ZUFSP	228330_at	6.20	6.76	0.55	0.31	3.93	8.09	0.69	33	141	71	16
INTS10	229632_s_at	9.03	8.93	-0.10	-0.14	5.45	10.52	0.68	138	37	150	41
LHX3	221670_s_at	5.86	5.34	-0.52	-0.33	4.44	7.81	0.49	205	11	73	144
HLA-B	208729_x_at	11.25	12.00	0.75	0.14	8.50	13.25	1.06	43	173	21	34
AMN	223587_s_at	6.51	6.73	0.22	0.12	4.49	9.61	1.27	91	101	53	74
ARHGEF10	216620_s_at	7.18	7.04	-0.14	-0.13	5.62	9.14	0.65	145	31	127	70
BCAT2	215654_at	6.52	5.91	-0.61	-0.36	4.72	8.25	0.51	210	12	58	158
TFB2M	218605_at	6.80	8.14	1.34	0.36	4.72	9.76	0.92	14	205	10	13
COQ9	212228_s_at	9.59	9.89	0.30	0.15	6.37	10.79	0.66	56	118	92	18
MAPK6	207121_s_at	10.06	10.18	0.12	0.11	6.81	11.43	0.67	88	67	127	34
FLJ32063	1560010_a_at	6.09	6.33	0.24	0.17	3.91	8.19	0.87	77	100	83	45
GTSE1	204318_s_at	6.36	6.14	-0.23	-0.15	4.31	8.52	0.72	155	40	101	87
RNF169	226739_at	7.58	7.05	-0.53	-0.43	5.33	8.94	0.60	202	17	87	124
PTPRF	200637_s_at	7.87	8.21	0.34	0.06	5.30	10.20	1.20	79	133	37	58
GIMAP1	1552316_a_at	5.31	5.35	0.04	0.02	3.40	7.64	0.87	108	76	82	70
CAT	201432_at	10.02	10.84	0.82	0.25	6.92	11.92	0.82	25	178	35	15
NAPA	206491_s_at	8.27	8.71	0.44	0.11	5.54	10.05	0.88	58	148	39	41
RNF19A	223085_at	8.40	8.90	0.51	0.32	5.19	10.56	0.77	37	133	79	16
FAM120A	200774_at	9.96	11.59	1.63	0.37	6.99	13.10	0.75	7	220	2	6
GLUL	200648_s_at	8.29	8.71	0.41	0.17	4.91	11.09	1.34	74	122	53	53
LAP3	217933_s_at	7.93	9.32	1.39	0.29	4.20	10.93	0.91	14	208	7	13
SCYL3	205607_s_at	7.03	7.21	0.19	0.24	5.07	8.40	0.56	68	65	143	20
PTPRM	1555579_s_at	6.56	6.48	-0.08	-0.09	4.88	8.63	0.71	131	44	119	65
LYRM7	228841_at	7.00	8.35	1.35	0.27	4.04	9.76	0.99	16	201	15	12
TCP1	222011_s_at	6.23	7.27	1.03	0.34	3.61	8.65	0.89	20	190	26	12
LONRF1	226038_at	7.52	7.43	-0.09	-0.13	5.24	9.58	0.73	133	35	141	52
TATDN3	228867_at	6.22	6.09	-0.12	-0.16	4.34	7.90	0.63	142	35	127	66
WDR78	229816_at	5.07	5.12	0.05	0.03	3.15	7.53	1.05	108	85	69	74
SEPT10	212698_s_at	8.20	9.39	1.19	0.29	4.96	10.97	0.94	17	198	19	11
