B_cells_naive,B_cells_memory,Plasma_cells,T_cells_CD8,T_cells_CD4_naive,T_cells_CD4_memory_resting,T_cells_CD4_memory_activated,T_cells_follicular_helper,T_cells_regulatory,T_cells_gamma_delta,NK_cells_resting,NK_cells_activated,Monocytes,Macrophages_M0,Macrophages_M1,Macrophages_M2,Dendritic_cells_resting,Dendritic_cells_activated,Mast_cells_resting,Mast_cells_activated,Eosinophils,Neutrophils
ABCB4,ADAM28,ABCB9,BCL11B,ACAP1,BCL11B,CCL20,ATHL1,BARX2,BFSP1,AZU1,APOBEC3G,AIF1,ACP5,ACHE,ADAMDEC1,ACP5,ARHGAP22,ADAMTS3,ATP8B4,ALOX15,AIF1
ADAM28,AIM2,AMPD1,CCL5,ANKRD55,CCL5,CD2,BCL11B,BCL11B,BRSK2,BPI,APOL6,APOBEC3A,ADAMDEC1,ADAMDEC1,AIF1,AIF1,BIRC3,ADRB2,BPI,BANK1,APOBEC3A
BACH2,ALOX5,ANGPT4,CD2,ATHL1,CCR6,CD247,CA8,CD2,CCL5,CAMP,CCL4,AQP9,AQP9,APOBEC3A,ALOX15,ALOX15,CCL1,ATP8B4,CCL1,BCL2A1,AQP9
BANK1,BACH2,ATXN8OS,CD247,BCL11B,CD2,CD28,CD2,CD247,CCR5,CCL5,CCL5,ASGR1,BHLHE41,APOL3,CCL13,C1orf54,CCL13,BMP2K,CCL20,BPI,BTNL8
BCL7A,BANK1,C11orf80,CD27,CCR7,CD247,CD3D,CD247,CD27,CD160,CD160,CCND2,ASGR2,C5AR1,APOL6,CCL14,CCDC102B,CCL17,BPI,CCL4,C3AR1,C5AR1
BEND5,BLK,CCR10,CD3D,CD2,CD27,CD3G,CD27,CD28,CD2,CD2,CD244,BST1,CCDC102B,AQP9,CCL18,CCL13,CCL18,C3AR1,CD33,C5AR2,CAMP
BLK,CCR6,CD27,CD3E,CD247,CD28,CD40LG,CD3D,CD3D,CD244,CD244,CD247,C5AR1,CCL18,ARRB1,CCL23,CCL17,CCL19,CD33,CLC,CD244,CASP5
BRAF,CD180,CD38,CD3G,CD27,CD3D,CD6,CD3G,CD3E,CD247,CD247,CD69,CCR2,CCL22,CCL19,CCL8,CCL18,CCL20,CEACAM8,CMA1,CLC,CCR3
CD180,CD19,CD79A,CD6,CD3D,CD3E,CD7,CD40LG,CD3G,CD300A,CD7,CD7,CD1D,CCL7,CCL5,CD209,CCL22,CCL22,CLC,CPA3,DACH1,CDA
CD19,CD1C,DENND5B,CD69,CD3G,CD3G,CDC25A,CD69,CD4,CD3D,CD96,CD96,CD33,CD68,CCL8,CD4,CD1A,CCL5,CMA1,CSF2,DAPK2,CEACAM3
CD1C,CD22,EAF2,CD7,CD40LG,CD4,CSF2,CD7,CD5,CD3G,CDHR1,CDK6,CD68,CHI3L1,CCR7,CD68,CD1B,CCL8,CPA3,CTSG,DEPDC5,CFP
CD22,CD27,FCRL2,CD8A,CD7,CD40LG,CTLA4,CHI3L2,CD6,CD8A,CEACAM8,CSF2,CDA,COL8A2,CD38,CFP,CD1C,CCR7,CRISP3,CXCL3,DPEP2,CHI3L1
CD37,CD37,GNG7,CD8B,CXorf57,CD6,CXCL13,CTLA4,CD70,CD8B,CST7,CST7,CFP,CSF1,CD40,CHI3L1,CD1E,CD1B,CTSG,FCER1A,EMR1,CHST15
CD69,CD69,GPR25,CD96,DPP4,CD69,DPP4,CXCL13,CD96,CDH12,CTSW,CTSW,CHST15,CXCL3,CHI3L1,CLEC10A,CD209,CD1E,FAM124B,GZMB,EMR2,CLC
CD72,CD72,GUSBP11,CRTAM,DSC1,CD7,GPR171,CXCR5,CEMP1,COLQ,DEFA4,DPP4,CLEC4A,CXCL5,CLIC2,CLEC4A,CD33,CD80,FAM174B,HDC,EMR3,CREB5
CD79A,CD79A,HIST1H2AE,CST7,EPHA1,CD96,GPR19,DGKA,CLEC2D,CST7,ELANE,FASLG,CLEC7A,CYP27A1,CXCL10,CLIC2,CD68,CD86,FCER1A,HOXA1,EPN2,CSF3R
CD79B,CD79B,HIST1H2BG,CTSW,FAIM3,CTLA4,GZMB,FAIM3,CTLA4,CXCR6,GFI1,GNLY,CREB5,DCSTAMP,CXCL11,CRYBB1,CLEC10A,CHST7,GFI1,HPGDS,FFAR2,CXCR1
CR2,CLCA3P,HLA-DOB,DPP4,FLJ13197,CTSW,ICOS,FOSB,DGKA,DUSP2,GNLY,GPR171,CSF3R,FAM198B,CXCL13,EBI3,CLEC4A,CLIC2,HDC,IL18R1,GIPR,CXCR2
CXCR5,CR2,IGHD,DSC1,FLT3LG,DGKA,IFNG,FZD3,DPP4,GFI1,GZMA,GPR18,FAM198B,GPC4,CXCL9,FAM198B,CLEC7A,CXCL10,HPGDS,IL1A,GPR183,DPEP2
EAF2,CXCR5,IGHE,DUSP2,GAL3ST4,DPP4,IL12RB2,GPR19,EFNA5,GNLY,GZMB,GRAP2,FCN1,HK3,CYP27B1,FES,CLIC2,CXCL11,IL18R1,IL1B,GPR65,EMR2
