StartMatrix : [26192, 1, 3275]
Stats : 85963556
AID	norel	lohi	lolo	hihi	hilo	eqv	opp
AFFX-BioB-5_at	12775	28	103	45	83	56	6
AFFX-BioB-M_at	12823	21	85	35	84	43	5
AFFX-BioB-3_at	12764	77	104	17	66	55	13
AFFX-BioC-5_at	11229	1151	536	9	86	63	22
AFFX-BioC-3_at	11959	578	379	14	88	59	19
AFFX-BioDn-5_at	5954	184	463	2175	2675	535	1110
AFFX-BioDn-3_at	11698	983	258	6	50	48	53
AFFX-CreX-5_at	12491	72	209	65	170	61	28
AFFX-CreX-3_at	12933	7	41	12	57	42	4
AFFX-DapX-5_at	7423	29	138	2670	2691	74	71
AFFX-DapX-M_at	6852	41	174	2783	3084	80	82
AFFX-DapX-3_at	6767	41	176	2804	3147	78	83
AFFX-LysX-5_at	12320	1	10	460	227	58	20
AFFX-LysX-M_at	12457	1	9	348	207	52	22
AFFX-LysX-3_at	10252	1	21	1749	999	50	24
AFFX-PheX-5_at	12134	1	33	583	240	72	33
AFFX-PheX-M_at	10202	2	25	1841	961	44	21
AFFX-ThrX-5_at	12515	2	22	256	199	63	39
AFFX-ThrX-M_at	9967	3	30	1941	1087	47	21
AFFX-ThrX-3_at	11250	3	33	1225	522	46	17
AFFX-r2-Ec-bioB-5_at	12613	152	179	38	58	43	13
AFFX-r2-Ec-bioB-M_at	12749	52	136	33	82	39	5
AFFX-r2-Ec-bioB-3_at	10955	495	492	98	765	80	211
AFFX-r2-Ec-bioC-5_at	12416	223	216	40	104	73	24
AFFX-r2-Ec-bioC-3_at	11377	1061	501	3	39	54	61
AFFX-r2-Ec-bioD-5_at	11978	169	339	59	368	85	98
AFFX-r2-Ec-bioD-3_at	12589	93	192	46	96	61	19
AFFX-r2-P1-cre-5_at	12919	34	25	4	55	47	12
AFFX-r2-P1-cre-3_at	12896	57	43	4	38	45	13
AFFX-r2-Bs-dap-5_at	6961	39	165	2780	2992	79	80
AFFX-r2-Bs-dap-M_at	6771	37	164	2809	3158	80	77
AFFX-r2-Bs-dap-3_at	6683	37	169	2827	3224	78	78
AFFX-r2-Bs-lys-5_at	10891	1	18	1465	663	44	14
