	#Cont	#Expt	#Genes	Condition	GSEID	ROC-AUC	Series	Signature	Species	pvalue
0	27	16	(48)	Heart GSE2596	GSE2596	0.04	GSE2596	C13	Hs	1.45e-08
1	27	16	(137,153)	Heart GSE2596	GSE2596	0.60	GSE2596	C14-3	Hs	0.481
2	27	16	(48,137,153)	Heart GSE2596	GSE2596	0.38	GSE2596	C13-14-3	Hs	0.0936
3	27	16	(106,57)	Heart GSE2596	GSE2596	0.05	GSE2596	Becker	Hs	2.64e-06
4	27	16	(40,65,32)	Heart GSE2596	GSE2596	0.10	GSE2596	Bell2016	Hs	4.26e-07
5	27	16	(81,78)	Heart GSE2596	GSE2596	0.36	GSE2596	Coates	Hs	0.223
6	27	16	(196,200)	Heart GSE2596	GSE2596	0.76	GSE2596	Martinez	Hs	0.0017
0	13	12	(48)	Heart GSE4470	GSE4470	0.06	GSE4470	C13	Hs	0.000332
1	13	12	(137,153)	Heart GSE4470	GSE4470	0.53	GSE4470	C14-3	Hs	0.942
2	13	12	(48,137,153)	Heart GSE4470	GSE4470	0.35	GSE4470	C13-14-3	Hs	0.0859
3	13	12	(106,57)	Heart GSE4470	GSE4470	0.28	GSE4470	Becker	Hs	0.034
4	13	12	(40,65,32)	Heart GSE4470	GSE4470	0.23	GSE4470	Bell2016	Hs	0.017
5	13	12	(81,78)	Heart GSE4470	GSE4470	0.53	GSE4470	Coates	Hs	0.916
6	13	12	(196,200)	Heart GSE4470	GSE4470	0.78	GSE4470	Martinez	Hs	0.0103
0	24	9	(48)	Liver GSE26627	GSE26627	0.28	GSE26627	C13	Hs	0.0799
1	24	9	(137,153)	Liver GSE26627	GSE26627	0.56	GSE26627	C14-3	Hs	0.507
2	24	9	(48,137,153)	Liver GSE26627	GSE26627	0.50	GSE26627	C13-14-3	Hs	0.877
3	24	9	(106,57)	Liver GSE26627	GSE26627	0.26	GSE26627	Becker	Hs	0.0941
4	24	9	(40,65,32)	Liver GSE26627	GSE26627	0.31	GSE26627	Bell2016	Hs	0.108
5	24	9	(81,78)	Liver GSE26627	GSE26627	0.59	GSE26627	Coates	Hs	0.73
6	24	9	(196,200)	Liver GSE26627	GSE26627	0.51	GSE26627	Martinez	Hs	0.789
0	60	35	(48)	Kidny GSE129166	GSE129166	0.19	GSE129166	C13	Hs	3.1e-07
1	60	35	(137,153)	Kidny GSE129166	GSE129166	0.48	GSE129166	C14-3	Hs	0.887
2	60	35	(48,137,153)	Kidny GSE129166	GSE129166	0.40	GSE129166	C13-14-3	Hs	0.0984
3	60	35	(106,57)	Kidny GSE129166	GSE129166	0.17	GSE129166	Becker	Hs	1.34e-07
4	60	35	(40,65,32)	Kidny GSE129166	GSE129166	0.11	GSE129166	Bell2016	Hs	1.82e-09
5	60	35	(81,78)	Kidny GSE129166	GSE129166	0.52	GSE129166	Coates	Hs	0.223
6	60	35	(196,200)	Kidny GSE129166	GSE129166	0.75	GSE129166	Martinez	Hs	5.09e-06
0	21	55	(48)	IBD blood GSE126124	GSE126124	0.09	GSE126124	C13	Hs	6.61e-10
1	21	55	(137,153)	IBD blood GSE126124	GSE126124	0.19	GSE126124	C14-3	Hs	6.12e-05
2	21	55	(48,137,153)	IBD blood GSE126124	GSE126124	0.10	GSE126124	C13-14-3	Hs	9.89e-08
3	21	55	(106,57)	IBD blood GSE126124	GSE126124	0.11	GSE126124	Becker	Hs	3.83e-10
4	21	55	(40,65,32)	IBD blood GSE126124	GSE126124	0.09	GSE126124	Bell2016	Hs	1.96e-09
5	21	55	(81,78)	IBD blood GSE126124	GSE126124	0.30	GSE126124	Coates	Hs	0.00189
6	21	55	(196,200)	IBD blood GSE126124	GSE126124	0.56	GSE126124	Martinez	Hs	0.474
0	14	16	(48)	ARDS GSE116560	GSE116560	0.71	GSE116560	C13	Hs	0.0437
1	14	16	(137,153)	ARDS GSE116560	GSE116560	0.54	GSE116560	C14-3	Hs	0.984
2	14	16	(48,137,153)	ARDS GSE116560	GSE116560	0.58	GSE116560	C13-14-3	Hs	0.34
3	14	16	(106,57)	ARDS GSE116560	GSE116560	0.64	GSE116560	Becker	Hs	0.181
4	14	16	(40,65,32)	ARDS GSE116560	GSE116560	0.64	GSE116560	Bell2016	Hs	0.138
5	14	16	(81,78)	ARDS GSE116560	GSE116560	0.61	GSE116560	Coates	Hs	0.277
6	14	16	(196,200)	ARDS GSE116560	GSE116560	0.46	GSE116560	Martinez	Hs	0.539
0	11	6	(48)	Liver GSE80751	GSE80751	0.62	GSE80751	C13	Hs	0.255
1	11	6	(137,153)	Liver GSE80751	GSE80751	0.55	GSE80751	C14-3	Hs	0.681
2	11	6	(48,137,153)	Liver GSE80751	GSE80751	0.64	GSE80751	C13-14-3	Hs	0.316
3	11	6	(106,57)	Liver GSE80751	GSE80751	0.56	GSE80751	Becker	Hs	0.566
4	11	6	(40,65,32)	Liver GSE80751	GSE80751	0.56	GSE80751	Bell2016	Hs	0.656
5	11	6	(81,78)	Liver GSE80751	GSE80751	0.68	GSE80751	Coates	Hs	0.229
6	11	6	(196,200)	Liver GSE80751	GSE80751	0.09	GSE80751	Martinez	Hs	0.00291
