name	pValue	fdr
Extrinsic Pathway of Fibrin Clot Formation	0.00507470018092	0.0972392387778
Myoclonic epilepsy of Lafora	0.00928557235041	0.0972392387778
Synthesis of 15-eicosatetraenoic acid derivatives	0.0184920467443	0.0972392387778
Glycogen storage diseases	0.0184920467443	0.0972392387778
P2Y receptors	0.0193250979687	0.0972392387778
Glycogen synthesis	0.0218203644305	0.0972392387778
Nucleotide-like (purinergic) receptors	0.0234806406435	0.0972392387778
ADP signalling through P2Y purinoceptor 1	0.0243098096944	0.0972392387778
Signal amplification	0.0350304394227	0.107551841844
Glycogen metabolism	0.035850613948	0.107551841844
TBC/RABGAPs	0.0407582566891	0.122274770067
Formation of Fibrin Clot (Clotting Cascade)	0.0456429908945	0.133095633195
Diseases of carbohydrate metabolism	0.0665478165975	0.133095633195
Amyloid fiber formation	0.0721038663997	0.144207732799
Circadian Clock	0.0846897601929	0.152558800799
Stimuli-sensing channels	0.0971189889895	0.152558800799
Rab regulation of trafficking	0.104042250227	0.152558800799
Arachidonic acid metabolism	0.131996337478	0.152558800799
Hemostasis	0.152558800799	0.152558800799
Ion channel transport	0.162037121325	0.162037121325
Diseases of metabolism	0.171361338462	0.171361338462
G alpha (q) signalling events	0.214536242367	0.214536242367
Platelet activation, signaling and aggregation	0.226008820092	0.226008820092
Fatty acid metabolism	0.308790895064	0.308790895064
Metabolism of carbohydrates	0.32611314544	0.32611314544
Class A/1 (Rhodopsin-like receptors)	0.32611314544	0.32611314544
GPCR ligand binding	0.430619669467	0.430619669467
Membrane Trafficking	0.438661394196	0.438661394196
Vesicle-mediated transport	0.513106186217	0.513106186217
Transport of small molecules	0.572211823338	0.572211823338
GPCR downstream signalling	0.701887933563	0.701887933563
Metabolism of lipids	0.724800192373	0.724800192373
Signaling by GPCR	0.734511356161	0.734511356161
Disease	0.751582464105	0.751582464105
Metabolism	0.85385872062	0.85385872062
Metabolism of proteins	0.887252417159	0.887252417159
Signal Transduction	0.953923597052	0.953923597052
