name	pValue	fdr
Peptide chain elongation	1.11382732049e-06	0.000462815878766
Eukaryotic Translation Elongation	1.98261693196e-06	0.000462815878766
GTP hydrolysis and joining of the 60S ribosomal subunit	2.65549560441e-06	0.000462815878766
L13a-mediated translational silencing of Ceruloplasmin expression	2.65549560441e-06	0.000462815878766
Formation of a pool of free 40S subunits	3.06898822333e-06	0.000462815878766
Nonsense-Mediated Decay (NMD)	3.92216846412e-06	0.000462815878766
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	3.92216846412e-06	0.000462815878766
Influenza Infection	6.29674055108e-06	0.000560858644535
Eukaryotic Translation Initiation	6.8397395675e-06	0.000560858644535
Cap-dependent Translation Initiation	6.8397395675e-06	0.000560858644535
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	9.01754037119e-06	0.000676315527839
Eukaryotic Translation Termination	1.48933455146e-05	0.00102764084051
Viral mRNA Translation	3.13342040492e-05	0.0018487180389
Selenocysteine synthesis	3.13342040492e-05	0.0018487180389
Influenza Life Cycle	3.76109972524e-05	0.00206860484888
SRP-dependent cotranslational protein targeting to membrane	4.82571023372e-05	0.0024611122192
Influenza Viral RNA Transcription and Replication	5.57036336774e-05	0.00267377441651
Regulation of expression of SLITs and ROBOs	0.000300958654107	0.0138440980889
Major pathway of rRNA processing in the nucleolus and cytosol	0.000419510107557	0.018038934625
Selenoamino acid metabolism	0.000869032705467	0.0356303409242
rRNA processing in the nucleus and cytosol	0.00104203374228	0.0406393159488
Signaling by ROBO receptors	0.001359373295	0.0502968119149
Interleukin-6 signaling	0.00152600184426	0.0549360663935
Pre-NOTCH Processing in the Endoplasmic Reticulum	0.00307161960468	0.104435066559
rRNA processing	0.00501730920839	0.165571203877
Apoptosis induced DNA fragmentation	0.00634007982215	0.196542474487
Translation initiation complex formation	0.00922095782489	0.276628734747
Interleukin receptor SHC signaling	0.00992311933041	0.277847341251
Ribosomal scanning and start codon recognition	0.0106502509344	0.277962649571
Regulation of IFNG signaling	0.0111081365712	0.277962649571
Interleukin-6 family signaling	0.0111185059829	0.277962649571
Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	0.0122299092248	0.30574773062
Defective LFNG causes SCDO3	0.0129441872999	0.310660495197
Interleukin-3, Interleukin-5 and GM-CSF signaling	0.0148706503885	0.342024958935
Host Interactions with Influenza Factors	0.0148706503885	0.342024958935
Translation	0.018522622976	0.407497705472
Formation of the ternary complex, and subsequently, the 43S complex	0.0199675589886	0.419318738761
