"SPT6i vs CTLi Genes (Fold-change > 10 or < -10, p-value < 0.1)"						
Source: GSE153129-Supplementary-4.xlsx						
						
UP					DOWN	
Gene Symbol	Fold-change (SPT6i vs. CTLi) > 10	p_value		Gene Symbol	Fold-change (SPT6i vs. CTLi) < -10	p_value
APOBEC3B-AS1	2.13E+07	7.03E-06		SNORD140	-38871200	1.03E-07
CGB5	19925900	9.97E-05		UGT1A9	-17082600	7.31E-06
MDC1-AS1	1.93E+07	2.62E-06		SLAMF8	-2426260	2.34E-08
FKBP6	16680200	7.32E-07		RNU2-1	-1228450	0.00419695
TBC1D3P2	16114900	1.07E-06		MSMP	-148886	0.00262143
CGB3	8.01E+06	3.26E-07		LOR	-8425.69	6.44E-05
CYP3A7-CYP3A51P	7.74E+06	0.000466777		CRNN	-3873.47	2.27E-06
PSG3	5164160	4.52E-06		LCE3C	-2843.91	1.81E-06
KCNK4-TEX40	1399460	0.000588234		MUC21	-2167.64	7.26E-06
ANKRD20A8P	1.20E+06	5.36E-06		LCE1D	-1722.82	0.000226294
GOLGA8S	492416	0.000198935		LCE1C	-1702.44	6.62E-05
FOXD4L6	238565	0.000992544		LCE2D	-1676.54	4.95E-05
P2RY11	2.59E+04	0.000588828		C1orf68	-1652.5	1.24E-05
GPR37L1	4.83E+02	0.00171983		LCE2B	-1588.73	0.000267599
TNFSF15	419.423	2.46E-05		KRT1	-1476.25	1.08E-05
CDHR2	276.283	3.75E-05		SPRR2G	-1261.91	3.53E-07
LINC01132	2.55E+02	0.000560566		LCE6A	-1083.99	4.31E-05
APOBEC3H	2.36E+02	0.00129571		LCE2A	-1022.03	0.00011788
CLDN9	2.20E+02	1.77E-06		ALOX12B	-995.863	1.60E-05
APOLD1	203.536	4.94E-07		CASP14	-988.923	6.99E-06
TNFRSF10C	185.85	4.40E-06		PSG7	-966.6	2.28E-05
LINC00589	1.54E+02	9.41E-07		LIPM	-945.041	1.38E-05
FOXA1	1.51E+02	1.90E-08		CYP4F22	-814.896	6.90E-05
PRR15	1.33E+02	0.000228116		AADACL2	-806.028	3.60E-05
DCST2	119.559	8.59E-06		FLG2	-791.798	9.97E-05
AGR2	117.539	9.76E-05		HAL	-669.462	3.90E-06
ZSCAN4	9.58E+01	3.70E-05		KPRP	-651.761	0.000130515
CXCL5	9.51E+01	1.66E-06		LCE1F	-601.582	7.17E-05
LDB3	9.07E+01	8.01E-05		PLA2G3	-568.464	4.57E-06
SLC2A12	9.03E+01	3.64E-05		IL36B	-545.837	2.95E-05
SOX9-AS1	88.8054	0.00037289		KRT2	-525.094	0.00338776
SYNJ2BP-COX16	8.64E+01	0.000334242		BPIFC	-473.749	3.85E-05
IL2RB	8.42E+01	4.69E-06		SPRR2B	-443.017	4.49E-05
LINC00479	8.04E+01	0.00109343		PSAPL1	-417.493	0.000240821
LOC101928053	80.0342	3.68E-05		LCE1A	-394.45	0.000207388
LGI4	7.96E+01	6.17E-05		KRT10	-390.83	0.000119413
LINC01376	7.81E+01	0.000192826		HOPX	-384.553	4.60E-06
EFCAB5	7.63E+01	1.02E-06		DHRS9	-383.239	1.11E-05
KMO	74.9008	0.000163208		PTGER3	-345.517	0.000466786
FILIP1	71.6186	0.000474063		CLDN17	-325.475	4.30E-05
DINOL	7.11E+01	0.000159953		SPRR2E	-307.866	3.42E-05
FAM198B-AS1	66.5646	1.08E-05		RHBG	-285.793	2.23E-05
VTCN1	63.6663	0.000820389		KRT4	-276.277	3.83E-05
SERPINA3	61.0487	0.000662406		TGM5	-266.141	5.05E-06
ITGB2	60.5344	0.0017703		ATP6V1C2	-244.712	1.20E-06
PARM1	59.0635	0.000243812		ABCG4	-242.96	4.59E-07
CLTRN	5.79E+01	2.77E-05		TNFAIP8L3	-242.543	6.20E-06
AOC1	5.71E+01	0.00212556		SLC26A9	-235.507	4.11E-05
LOC100507516	5.64E+01	0.000116982		ACER1	-226.151	1.48E-05
DNAH6	5.58E+01	1.66E-05		PLA2G4E	-225.191	1.06E-05
NBPF18P	54.0629	0.000333834		CHRNA9	-221.967	0.00116321
MEIG1	53.4328	1.57E-05		PLA2G4D	-221.691	2.08E-05
WFDC3	52.6211	5.04E-05		EPHB6	-203.678	8.31E-05
EPCAM	52.2977	9.04E-06		WFDC5	-201.612	2.30E-06
TBC1D8-AS1	51.3539	0.00152207		KRT6C	-200.186	3.07E-05
COL11A2	50.8179	0.00010003		LCE3E	-196.97	0.000176728
MST1L	50.4896	1.09E-06		MUCL1	-193.82	0.00107037
LMOD1	4.99E+01	0.000817366		MAL	-189.973	0.000752975
PRRT2	49.7234	0.00371299		PRR9	-189.716	0.000353097
NPY1R	48.2172	0.00109154		RDH12	-182.282	2.75E-06
LINC01559	4.81E+01	0.00117988		SERPINB3	-171.492	3.44E-06
TSPAN1	4.79E+01	0.000580921		WFDC12	-165.542	0.000133224
NR4A2	47.9064	0.000351509		LCE1B	-164.126	1.17E-05
DCST1	47.5656	0.00220652		LINC01181	-164.106	6.41E-05
MGAT4EP	47.5409	0.000131047		SEPTIN5	-160.249	3.85E-05
NAALADL2	4.59E+01	0.00018232		LCE1E	-156.48	5.52E-06
FAM72D	4.59E+01	0.000227074		FLG	-156.399	0.000127017
LOC101927245	45.6495	0.000244057		KRT77	-154.956	0.000503016
NALT1	4.45E+01	7.81E-05		DSG1	-147.467	3.27E-05
WFDC2	4.31E+01	0.00322183		TGM1	-142.147	8.08E-06
MYOM2	41.0969	0.00356798		PGLYRP2	-132.24	0.00166474
H3C15	40.7531	0.00173301		SPTSSB	-124.324	7.39E-07
H3C14	40.7531	0.00173301		VSIG8	-123.858	0.000880029
HCP5	40.5868	0.00111272		INSYN1	-121.913	2.07E-05
GASK1B	39.8221	6.82E-05		SLC5A1	-121.406	3.10E-06
LINC00672	39.6686	0.000536107		SLC19A3	-120.793	0.000873572
LOC101929470	39.4324	7.37E-05		ABHD12B	-120.55	0.00036225
LOC400710	39.2225	4.59E-05		DGAT2	-120.082	0.000191961
THRB-AS1	39.1395	0.000424339		UGT1A7	-115.332	0.000412305
KCNN4	38.9807	9.01E-05		TMEM170B	-113.796	0.0019418
HRK	38.9172	0.000773099		STXBP6	-113.574	0.001018
CCR10	38.7024	0.00115388		ALDH5A1	-111.29	3.17E-05
