ArrayID	Name	BitVector
SOX1	SOX1: SOX1	22000002111021201221122020222212000222222210200022210001200200110111022002122002102122022001202210002220200200002000122222210001012212
PKD1L2	PKD1L2: PKD1L2	02212212220020220222022222022221100222212211211002202021122111112222220101002102202101120120120202001002022202011202020112001022212222
SNORD16	SNORD16: SNORD16	11111111111111111111111112111111111111121111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
SLC6A19	SLC6A19: SLC6A19	02222001212102020222202022201022220021221122002022200000222222122220120201022202210222102200200200022201022202222002122011020021202222
ARHGAP39	ARHGAP39: ARHGAP39	02211202212202101201201100221210211211012111102122110110221211220111221112211111221011222011121110001111202100211201202120110111111111
RASA3	RASA3: RASA3	20010121020020212010021122010121112012220110220101111011012000101121002110001111102211110102012122222102111111112011020212212211102012
YEATS2	YEATS2: YEATS2	21111121121111112010111111111120121111210111220111112111111111101111111111111121111111010112111122221111111111011112111211111101111111
BBIP1	BBIP1: BBIP1	20111121110121122021021122111112111111111010121111111112012111111112111121111111112211111111111112211111111121110021110212222210211111
MIR553	MIR553: MIR553	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
ALG14	ALG14: ALG14	01111111101101001112201100111201111110002102012111111111210112120111111112220111021111212121220001001121101121210120202010111121110110
NOTUM	NOTUM: NOTUM	10002020100000122200001200000022002121221020022200120202002010000021102100002020202201111202020222222002122201021012010200022200202221
PLA2G2E	PLA2G2E: PLA2G2E	00000000000000000000000000000000000020000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000100
MIR1252	MIR1252: MIR1252	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
CBFA2T2	CBFA2T2: CBFA2T2	12111211122211110011111111122111210111111121101111101120120121111110211101112111110112011111111211111111212111011201112120111012121111
SPATA3	SPATA3: SPATA3	00000000000002000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000
VDR	VDR: VDR	02202211212202010112202110222202211211111212011122200110221222220220221122222212220122102111221210010120102112111101202020101021212220
TBC1D10C	TBC1D10C: TBC1D10C	20021112020000211211021212000212222022122121221100102021022010012112001200002112111202210212011212122102101221122022010200212222201102
PRPS1	PRPS1: PRPS1	20111021010110212110021112110112122111120010121101112112002001102111001120001111112211110211102121111111111122111021110102112211111112
KIAA0494	KIAA0494: KIAA0494	11111111121112121011211111212121111112210211110112111111121221210111121111111111111122011101111121120111121011111111121112111111111111
DCAF7	DCAF7: DCAF7	01111111122201111011111110211110121101210212110112011211120111210110111111211111111112111212111121120121111111011201221111111111111111
RNASEH2C	RNASEH2C: RNASEH2C	11111001200010111202111011000112111021012011111010002001100111012112010101111001111100212111120111112112110210211021002101111110101101
