Gene stable ID	Mouse gene stable ID	Mouse gene name	Gene name
ENSG00000210049			MT-TF
ENSG00000211459			MT-RNR1
ENSG00000210077			MT-TV
ENSG00000210082			MT-RNR2
ENSG00000209082			MT-TL1
ENSG00000198888	ENSMUSG00000064341	mt-Nd1	MT-ND1
ENSG00000210100			MT-TI
ENSG00000210107			MT-TQ
ENSG00000210112			MT-TM
ENSG00000198763	ENSMUSG00000064345	mt-Nd2	MT-ND2
ENSG00000210117			MT-TW
ENSG00000210127			MT-TA
ENSG00000210135			MT-TN
ENSG00000210140			MT-TC
ENSG00000210144			MT-TY
ENSG00000198804	ENSMUSG00000064351	mt-Co1	MT-CO1
ENSG00000210151			MT-TS1
ENSG00000210154			MT-TD
ENSG00000198712	ENSMUSG00000064354	mt-Co2	MT-CO2
ENSG00000210156			MT-TK
ENSG00000228253	ENSMUSG00000064356	mt-Atp8	MT-ATP8
ENSG00000198899	ENSMUSG00000064357	mt-Atp6	MT-ATP6
ENSG00000198938	ENSMUSG00000064358	mt-Co3	MT-CO3
ENSG00000210164			MT-TG
ENSG00000198840	ENSMUSG00000064360	mt-Nd3	MT-ND3
ENSG00000210174			MT-TR
ENSG00000212907	ENSMUSG00000065947	mt-Nd4l	MT-ND4L
ENSG00000198886	ENSMUSG00000064363	mt-Nd4	MT-ND4
ENSG00000210176			MT-TH
ENSG00000210184			MT-TS2
ENSG00000210191			MT-TL2
ENSG00000198786	ENSMUSG00000064367	mt-Nd5	MT-ND5
ENSG00000198695	ENSMUSG00000064368	mt-Nd6	MT-ND6
ENSG00000210194			MT-TE
ENSG00000198727	ENSMUSG00000064370	mt-Cytb	MT-CYB
ENSG00000210195			MT-TT
ENSG00000210196			MT-TP
ENSG00000242065			RN7SL291P
ENSG00000252951			RNA5SP165
ENSG00000243352			RN7SL8P
ENSG00000239553			RN7SL12P
ENSG00000238590			RNU7-54P
ENSG00000199567			AL009175.1
ENSG00000264352			RN7SL602P
ENSG00000252443			AC092115.1
ENSG00000243532			RN7SL19P
ENSG00000212567	ENSMUSG00000084745	Gm25290	AC008810.1
ENSG00000202314	ENSMUSG00000064797	Gm24357	SNORD6
ENSG00000199880			RNU6-888P
ENSG00000221643	ENSMUSG00000080364	Gm25777	SNORA77
