Symbol	Entrez Gene Name	Location	Type(s)	expressed in human macrophages	expressed in mouse macrophages	"Cell or tissue expression, human"	"Cell or tissue expression, mouse"
ACTN1	"actinin, alpha 1"	Cytoplasm	other	not known	fetal liver-derived macrophages (16943423)	"breast cell lines, epithelial cell lines, HUVEC cells, cervical cancer cell lines, blood platelets, bone cancer cell lines, breast cancer cell lines, colon cancer cell lines, embryonic cell lines, endothelial cells, lymphoma cell lines, skin cancer cell lines, B lymphoblastoid cell lines, PBMCs, T lymphocytes, breast, carcinoma cell lines, embryonic stem cell lines, endothelial cell lines, epithelial cells, fibroblast-like synoviocytes, foreskin of penis, granulocytes, granulosa cells, heart cell lines, heart tissue, keratinocytes, kidney cell lines, knee, leiomyoma, lymphoblastoid cell lines, nasopharyngeal carcinoma cells, neuroblastoma cell lines, peripheral blood, placenta, plasma, prostate cancer cell lines, skeletal muscle cells, sputum, stem cell lines, syncytiotrophoblast, synovial membrane, tear, thyroid tumor cell lines, urine"	"naive T lymphocytes, fibroblast cell lines, kidney cell lines, spleen, T lymphocytes, dendritic cells, embryonic cell lines, epithelial cell lines, kidney, liver, liver cells, macrophages, mammary gland, memory T lymphocytes, podocytes"
ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	Cytoplasm	enzyme	not known	not known	"vein, cells, lung tissue, plasma"	"astrocytes, neural stem cells, liver, skeletal muscle, bone marrow cell lines, cerebral cortex, fibroblasts, hematopoietic cell lines, kidney, liver cell lines, pituitary gland"
ANXA1	annexin A1	Plasma Membrane	other	not known	"thioglycollate-elicited peritoneal macrophages (15064349), alveolar macrophages (15920146), J774 cell line (15064349), RAW264.7 cell line (19924255)"	"colon cancer cell lines, adenocarcinoma cell lines, breast cancer cell lines, endocrine cell lines, leukemia cell lines, breast, epithelial tissue, lymphoma cell lines, larynx, blood vessel, epithelial cells, mast cells, neutrophils, blood, bone marrow, embryonic cell lines, endothelial cell lines, epithelial cell lines, esophagus, kidney cell lines, prostate gland, squamous cell carcinoma cell lines, stomach cancer cell lines, granulocytes, hairy leukemia cells, keratinocytes, leukemia cells, melanoma cell lines, memory T lymphocytes, myoepithelial cells, prostate cells, superficial layer of squamous epithelium, synovial membrane, tear, bladder cancer cell lines, bone marrow cell lines, breast carcinoma, carcinoma cell lines, carcinoma cells, cells, cervical cancer cell lines, cytotrophoblastic cells, duct cells, endothelial cells, esophageal tissue, fibroblast cell lines, fibroblast-like synoviocytes, fibroblasts, gastric adenocarcinoma, glandular epithelial cells, knee, liver neoplasm, lung, lung cancer cell lines, lung neoplasm, lung tissue, naive B cells, pancreas, placenta, plasma, prostate cancer cell lines, prostatic carcinoma, smooth muscle cells, sputum, squamous-cell carcinoma, stromal cell lines, tracheobronchial tissue, urine, Other"	"endocrine cell lines, lung, cells, epithelial cell lines, skin cell lines, adrenal gland, adrenal gland capsule, pituitary cancer cell lines, PBMCs, adrenal gland cells, adrenal gland tissue, blood, bone marrow cell lines, dendritic cells, fibroblast cell lines, folliculo-stellate cells, granulocytes, heart ventricle, hematopoietic cell lines, kidney cell lines, peripheral lymphatic tissue organizer cells, pituitary gland, skin cancer cell lines, spleen, spleen cell lines, stromal cells, thymocytes, thymus gland, zona glomerulosa, Peyer's patches, adenohypophysis, airway epithelial cells, alveolar macrophages, anterior pituitary cells, aorta, brain tissue, bronchial epithelial cells, dorsal root ganglion, epithelial tissue, hematopoietic cells, intestine, leukocyte cell lines, macrophage cancer cell lines, macrophages, mesenchyme, mesenteric lymph node, mesentery, peripheral blood, pituitary tissue, skeletal muscle, spleen tissue, squamous cell carcinoma cell lines, testicular cancer cell lines, thymus tissue"
ANXA2	annexin A2	Plasma Membrane	other	monocyte-derived macrophages (15545357)	"thioglycollate-elicited peritoneal macrophages (17690254, 15064349), J774 cell line (17690254), RAW264.7 cell line (17690254)"	"prostate gland, colon cancer cell lines, brain cancer cell lines, epithelial cell lines, adenocarcinoma cell lines, cervical cancer cell lines, breast cancer cell lines, hepatoma cell lines, monocytes, pancreatic cancer cell lines, ductal epithelium, eye cell lines, glandular epithelial cells, prostate cells, bone marrow cell lines, embryonic cell lines, hippocampus, kidney cell lines, macrophages, pancreas, prostate cancer cell lines, HUVEC cells, bone marrow, fibroblasts, liver tissue, lymphoma cell lines, monocyte-derived macrophages, neuroblastoma cell lines, plasma, plasma cells, prostatic tissue, smooth muscle cells, stromal cell lines, tonsil, B lymphocytes, blood, bone marrow cells, breast, breast milk, cerebellum, connective tissue, cytotrophoblastic cells, dendritic cells, dermis, endometrium, epidermis, epithelial cells, epithelial tissue, fibroblast-like synoviocytes, giant cell tumor of bone, hematopoietic cell lines, knee, leukemia cell lines, lymphocytes, mantle cell lymphoma, megakaryocytes, melanoma cell lines, mesenchymal cells, microvascular endothelial cells, mononuclear leukocytes, myometrium, osteoclasts, pancreatic cells, placenta, scar tissue, skin cancer cell lines, sputum, synovial membrane, tear, tracheobronchial tissue, tumor cells, tumor tissue, Other"	"macrophage cancer cell lines, fibroblast cell lines, peritoneal macrophages, spleen cell lines, breast cell lines, intestinal mucosa, liver, pancreas, bone marrow, bone marrow cell lines, brain cancer cell lines, dendritic cells, epidermis, hematopoietic cell lines, microglia, skin, duct cells, endothelial cell lines, heart tissue, keratinocytes, leukocyte cell lines, liver tissue, lung, lung tissue, macrophages, mesenchymal cells, naive T lymphocytes, peripheral blood monocytes, pituitary gland, skeletal muscle, spleen tissue, suprabasal keratinocytes, thymus gland, trigeminal ganglion, vascular endothelial tissue"
ANXA5	annexin A5	Plasma Membrane	other	not known	J774 (11149929)	"colon cancer cell lines, adenocarcinoma cell lines, urine, prostate cancer cell lines, B cell lymphoma cells, B lymphocytes, breast, cytotrophoblastic cells, epithelial cells, fibroblast-like synoviocytes, knee, leukemia cell lines, lymphocytes, mantle cell lymphoma, mesenchymal stem cells, pancreatic tissue, placenta, plasma, sputum, synovial membrane, tear, tonsil, Other"	"liver, bone marrow cell lines, epidermis, hematopoietic cell lines, leukocyte cell lines, skin, spleen cell lines, aorta, fibroblast cell lines, granular layer of epidermis, keratinocytes, lumen, lung, mesenchyme, suprabasal keratinocytes, Other"
APOE	apolipoprotein E	Extracellular Space	transporter	"momocyte-derived macrophages (9541497), monocytes (16566827)"	"resident and thioglycollate-elicited peritoneal macrophages (6350291), J774 cell line (10634811), microglia (15269218), "	"eye, neurons, brain, cerebrospinal fluid, plasma, hepatoma cell lines, gonadal cell lines, liver, frontal cortex, hippocampus, RPE cells, cerebellar cortex, monocyte-derived macrophages, astrocytes, bruch membrane tissue, hepatocytes, hippocampal CA1 region, hippocampal CA4 region, macrophages, peritoneal macrophages, retinal pigment epithelium, Bergmann glia, basal deposits, brain cancer cell lines, breast, breast cell lines, colon cancer cell lines, dentate gyrus, ductal carcinoma, fibroblasts, granule cell layer, hippocampal CA3 region, macular drusen, melanoma, monocytes, neuroblastoma cell lines, nipple aspirate fluid, peripheral blood, pyramidal neurons, skin, urine, adipocytes, adipose tissue, adrenal gland, astrocytoma, bladder neoplasm, bone marrow cell lines, breast milk, carcinoma cell lines, choroid, colony forming multilineage cells, dendritic cells, ductal epithelium, endometrium, endothelial progenitor cells, epithelial cell lines, gall bladder, gastric adenocarcinoma, gastric epithelium, glandular epithelial cells, glioblastoma, granulosa cells, hematopoietic cell lines, hippocampal CA2 region, intercapillary pillars, keratinocytes, kidney cell lines, left foot, left scapula, leukocyte cell lines, lung cancer cell lines, lung cancer cells, lymph node, macula retinae, nerve process, neutrophils, ovary, pericytes, peripheral drusen, plantar skin, plasma cells, retina, scar tissue, smooth muscle cells, stromal cells, temporal lobe, tumor, urothelial cells, Other"	"brain, liver, plasma, astrocytes, sciatic nerve, adrenal gland, neurons, cells, cerebellum, cerebral cortex, olfactory bulb, endoneurium, epineurium, kidney, muscle cell lines, B lymphocytes, blood, cortical neurons, fibroblast cell lines, high endothelial postcapillary venule, hippocampal neurons, mesenteric lymph node, nervous tissue cell lines, peritoneal macrophages, spleen, striatum, zona fasciculata, Bergmann glia, accessory olfactory bulb, adrenal medulla, bone marrow cell lines, brown adipose tissue, cervical lymph node, dentate gyrus, embryonic cancer cell lines, fibroblasts, glomerular layer of olfactory bulb, granule cells, gray matter, heart, heart ventricle, hematopoietic cell lines, hematopoietic progenitor cells, hepatocytes, hippocampal CA1 region, hippocampal CA3 region, hippocampus, hypothalamus, internal granular layer of olfactory bulb, leukemia cell lines, leukocyte cell lines, liver tissue, lung, macrophage cancer cell lines, macrophages, memory B cells, memory T lymphocytes, mesangial cells, microglia, naive B cells, olfactory neuronal layer, outer plexiform layer, pia mater, protoplasmic astrocytes, skin, small intestine tissue, smooth muscle cells, splenocytes, stomach, stromal cells, submandibular gland, subventricular zone, testis, thalamus, thymus medulla, trigeminal ganglion, uterus, visceral endoderm, white matter, zona glomerulosa, zona reticularis, Other"
ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	Cytoplasm	other	not known	not known	"lymphoma cell lines, leukemia cell lines, myeloma cell lines, leukocyte cell lines, B-lymphocyte derived cell lines, bone marrow, breast cancer cell lines, carcinoma cell lines, dendritic cells, neutrophils, peripheral blood, T lymphocytes, adrenal gland, bladder cancer cell lines, blood platelets, bone marrow cell lines, brain cancer cell lines, breast, embryonic cell lines, epithelial cell lines, epithelial tissue, fibroblast-like synoviocytes, granulocytes, head and neck neoplasm, hematopoietic cells, kidney, kidney cell lines, knee, liver, lung, lung cancer cell lines, memory T lymphocytes, ovarian cancer cell lines, prostate gland, skeletal muscle, skin cell lines, squamous carcinoma cells, stromal cell lines, synovial membrane, tear, tumor tissue, urine, Other"	"bone marrow, bone marrow cell lines, epithelial cell lines, epithelial tissue, hematopoietic cell lines, hematopoietic progenitor cells, intestine, intraepithelial T lymphocytes, progenitor cells, spleen, thymus gland"
ARPC1B	"actin related protein 2/3 complex, subunit 1B, 41kDa"	Cytoplasm	other	monocyte-derived macrophages (10861055)	not known	"macrophages, breast cancer cell lines, blood platelets, cervical cancer cell lines, colon cancer cell lines, granulocytes, memory B cells, neuroblastoma cell lines, peripheral blood, plasma, tear, Other"	podocytes
ATOX1	ATX1 antioxidant protein 1 homolog (yeast)	Cytoplasm	transporter	not known	not known	"cervical cancer cell lines, plasma cells, bone marrow, intraductal papillary mucinous neoplasm, tonsil, urine"	"heart, liver"
ATP5A1	"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle"	Cytoplasm	transporter	not known	not known	"HUVEC cells, cervical cancer cell lines, heart, epithelial cells, heart tissue, hepatocytes, leukemia cell lines, liver, lung cell lines, prefrontal cortex, skin cell lines, small cell lung carcinoma, tracheobronchial tissue, urine"	"hindlimb, skeletal muscle, bone marrow cell lines, brain, cerebellum, cerebral cortex, fibroblast cell lines, gastrocnemius, hematopoietic cell lines, hepatocytes, striatum, Other"
